date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2023-08-19,Empoli,Verona,0,1,0.844727,0.690842,A
2023-08-19,Frosinone,Napoli,1,3,0.871157,1.31464,A
2023-08-19,Inter,Monza,2,0,2.49549,0.581247,H
2023-08-19,Genoa,Fiorentina,1,4,0.79732,1.1197,A
2023-08-20,Roma,Salernitana,2,2,2.00607,0.364297,D
2023-08-20,Sassuolo,Atalanta,0,2,0.381264,1.50058,A
2023-08-20,Udinese,Juventus,0,3,1.20988,1.86438,A
2023-08-20,Lecce,Lazio,2,1,1.75411,2.22215,H
2023-08-21,Torino,Cagliari,0,0,1.03099,0.443184,D
2023-08-21,Bologna,Milan,0,2,1.17349,1.1479,A
2023-08-26,Frosinone,Atalanta,2,1,0.760807,1.44199,H
2023-08-26,Monza,Empoli,2,0,2.0469,1.13824,H
2023-08-26,Milan,Torino,4,1,3.25277,0.563184,H
2023-08-26,Verona,Roma,2,1,0.904461,2.00413,H
2023-08-27,Fiorentina,Lecce,2,2,1.51003,0.494028,D
2023-08-27,Juventus,Bologna,1,1,0.915803,0.687398,D
2023-08-27,Lazio,Genoa,0,1,0.937895,0.69511,A
2023-08-27,Napoli,Sassuolo,2,0,3.53489,0.145568,H
2023-08-28,Salernitana,Udinese,1,1,0.559371,0.548425,D
2023-08-28,Cagliari,Inter,0,2,0.484344,1.25423,A
2023-09-01,Sassuolo,Verona,3,1,2.62139,0.555465,H
2023-09-01,Roma,Milan,1,2,0.412392,1.62873,A
2023-09-02,Udinese,Frosinone,0,0,2.07837,2.41709,D
2023-09-02,Bologna,Cagliari,2,1,2.8268,0.537052,H
2023-09-02,Atalanta,Monza,3,0,1.96499,0.37036,H
2023-09-02,Napoli,Lazio,1,2,1.04344,1.04826,A
2023-09-03,Torino,Genoa,1,0,0.481429,0.102008,H
2023-09-03,Inter,Fiorentina,4,0,5.21474,0.346607,H
2023-09-03,Empoli,Juventus,0,2,0.304187,3.04937,A
2023-09-03,Lecce,Salernitana,2,0,1.83665,1.05367,H
2023-09-16,Juventus,Lazio,3,1,2.6734,0.704843,H
2023-09-16,Inter,Milan,5,1,2.95417,0.989611,H
2023-09-16,Genoa,Napoli,2,2,1.33007,0.984291,D
2023-09-17,Cagliari,Udinese,0,0,2.2007,0.836992,D
2023-09-17,Frosinone,Sassuolo,4,2,2.97022,1.93433,H
2023-09-17,Monza,Lecce,1,1,3.29559,0.895727,D
2023-09-17,Fiorentina,Atalanta,3,2,1.4533,0.632092,H
2023-09-17,Roma,Empoli,7,0,2.49292,0.166755,H
2023-09-18,Salernitana,Torino,0,3,0.694683,1.54562,A
2023-09-18,Verona,Bologna,0,0,0.408446,0.896605,D
2023-09-22,Salernitana,Frosinone,1,1,0.834621,0.98737,D
2023-09-22,Lecce,Genoa,1,0,1.00903,0.532474,H
2023-09-23,Milan,Verona,1,0,0.916672,0.845815,H
2023-09-23,Sassuolo,Juventus,4,2,1.74238,1.36816,H
2023-09-23,Lazio,Monza,1,1,1.02354,1.80956,D
2023-09-24,Empoli,Inter,0,1,0.330665,1.63518,A
2023-09-24,Atalanta,Cagliari,2,0,1.67724,1.00314,H
2023-09-24,Udinese,Fiorentina,0,2,2.40063,0.281122,A
2023-09-24,Bologna,Napoli,0,0,0.184666,1.84847,D
2023-09-24,Torino,Roma,1,1,1.10678,1.10764,D
2023-09-26,Juventus,Lecce,1,0,1.64987,0.0667791,H
2023-09-27,Cagliari,Milan,1,3,0.67613,2.10838,A
2023-09-27,Empoli,Salernitana,1,0,2.29107,0.477434,H
2023-09-27,Verona,Atalanta,0,1,0.325267,1.38356,A
2023-09-27,Inter,Sassuolo,1,2,1.02458,1.02404,A
2023-09-27,Lazio,Torino,2,0,0.773684,0.213455,H
2023-09-27,Napoli,Udinese,4,1,3.70921,0.82191,H
2023-09-28,Monza,Bologna,0,0,1.02777,1.04179,D
2023-09-28,Frosinone,Fiorentina,1,1,0.976021,1.45269,D
2023-09-28,Genoa,Roma,4,1,1.59801,1.29625,H
2023-09-30,Lecce,Napoli,0,4,0.612649,2.71689,A
2023-09-30,Milan,Lazio,2,0,2.69178,0.502537,H
2023-09-30,Salernitana,Inter,0,4,0.620122,2.5554,A
2023-10-01,Bologna,Empoli,3,0,3.28867,1.04905,H
2023-10-01,Udinese,Genoa,2,2,1.53115,0.83333,D
2023-10-01,Atalanta,Juventus,0,0,1.97735,0.203059,D
2023-10-01,Roma,Frosinone,2,0,0.830718,0.791935,H
2023-10-02,Torino,Verona,0,0,0.617691,0.273624,D
2023-10-02,Sassuolo,Monza,0,1,1.49022,1.84951,A
2023-10-02,Fiorentina,Cagliari,3,0,1.52678,0.81356,H
2023-10-06,Empoli,Udinese,0,0,1.00116,1.23968,D
2023-10-06,Lecce,Sassuolo,1,1,1.51817,1.74518,D
2023-10-07,Inter,Bologna,2,2,0.705274,1.04766,D
2023-10-07,Juventus,Torino,2,0,2.40906,0.592513,H
2023-10-07,Genoa,Milan,0,1,0.353901,0.898603,A
2023-10-08,Monza,Salernitana,3,0,3.73783,0.999628,H
2023-10-08,Frosinone,Verona,2,1,1.91977,0.506291,H
2023-10-08,Lazio,Atalanta,3,2,1.65045,1.0016,H
2023-10-08,Cagliari,Roma,1,4,1.76268,3.3327,A
2023-10-08,Napoli,Fiorentina,1,3,1.77418,1.76863,A
2023-10-21,Verona,Napoli,1,3,0.87241,2.65531,A
2023-10-21,Torino,Inter,0,3,0.596799,2.44253,A
2023-10-21,Sassuolo,Lazio,0,2,0.319165,2.93562,A
2023-10-22,Roma,Monza,1,0,2.53278,0.423669,H
2023-10-22,Bologna,Frosinone,2,1,1.63336,1.42786,H
2023-10-22,Salernitana,Cagliari,2,2,1.33333,1.4958,D
2023-10-22,Atalanta,Genoa,2,0,1.97081,1.04166,H
2023-10-22,Milan,Juventus,0,1,0.238518,1.80571,A
2023-10-23,Udinese,Lecce,1,1,2.58184,0.808325,D
2023-10-23,Fiorentina,Empoli,0,2,0.764401,1.79488,A
2023-10-27,Genoa,Salernitana,1,0,0.40726,0.778619,H
2023-10-28,Sassuolo,Bologna,1,1,0.864789,0.829724,D
2023-10-28,Lecce,Torino,0,1,0.462357,1.33241,A
2023-10-28,Juventus,Verona,1,0,3.64831,0.318759,H
2023-10-29,Cagliari,Frosinone,4,3,4.07472,1.29593,H
2023-10-29,Monza,Udinese,1,1,0.40283,1.05616,D
2023-10-29,Inter,Roma,1,0,2.25314,0.495306,H
2023-10-29,Napoli,Milan,2,2,1.50253,2.37489,D
2023-10-30,Empoli,Atalanta,0,3,0.271851,2.19175,A
2023-10-30,Lazio,Fiorentina,1,0,2.36178,0.389451,H
2023-11-03,Bologna,Lazio,1,0,0.698258,0.462021,H
2023-11-04,Salernitana,Napoli,0,2,0.322231,1.67658,A
2023-11-04,Atalanta,Inter,1,2,1.36089,1.39642,A
2023-11-04,Milan,Udinese,0,1,1.28493,2.1049,A
2023-11-05,Verona,Monza,1,3,1.12724,1.39014,A
2023-11-05,Cagliari,Genoa,2,1,1.26944,0.669834,H
2023-11-05,Roma,Lecce,2,1,2.55177,1.20256,H
2023-11-05,Fiorentina,Juventus,0,1,0.675388,0.855784,A
2023-11-06,Frosinone,Empoli,2,1,0.80376,1.87117,H
2023-11-06,Torino,Sassuolo,2,1,3.43408,0.499189,H
2023-11-10,Sassuolo,Salernitana,2,2,2.4684,0.946956,D
2023-11-10,Genoa,Verona,1,0,2.04226,0.2458,H
2023-11-11,Lecce,Milan,2,2,1.99035,2.22404,D
2023-11-11,Juventus,Cagliari,2,1,3.04248,0.477922,H
2023-11-11,Monza,Torino,1,1,1.16628,0.819686,D
2023-11-12,Napoli,Empoli,0,1,1.06052,0.38859,A
2023-11-12,Udinese,Atalanta,1,1,1.21433,0.575292,D
2023-11-12,Fiorentina,Bologna,2,1,1.57435,2.31019,H
2023-11-12,Lazio,Roma,0,0,0.398131,0.320262,D
2023-11-12,Inter,Frosinone,2,0,3.2782,0.58612,H
2023-11-25,Salernitana,Lazio,2,1,1.40102,1.83536,H
2023-11-25,Atalanta,Napoli,1,2,0.880466,2.51076,A
2023-11-25,Milan,Fiorentina,1,0,1.78395,1.69486,H
2023-11-26,Cagliari,Monza,1,1,1.58663,0.802396,D
2023-11-26,Frosinone,Genoa,2,1,0.990501,1.82552,H
2023-11-26,Empoli,Sassuolo,3,4,1.47716,2.97603,A
2023-11-26,Roma,Udinese,3,1,1.25942,0.532293,H
2023-11-26,Juventus,Inter,1,1,0.488914,0.692636,D
2023-11-27,Verona,Lecce,2,2,1.94683,1.52186,D
2023-11-27,Bologna,Torino,2,0,1.34938,0.573292,H
2023-12-01,Monza,Juventus,1,2,0.656513,2.95935,A
