date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2022-08-13,Milan,Udinese,4,2,2.68095,0.439661,H
2022-08-13,Sampdoria,Atalanta,0,2,0.617683,2.28675,A
2022-08-13,Monza,Torino,1,2,1.0301,3.13646,A
2022-08-13,Lecce,Inter,1,2,0.752988,2.52817,A
2022-08-14,Lazio,Bologna,2,1,0.709672,1.59632,H
2022-08-14,Fiorentina,Cremonese,3,2,2.01254,1.76638,H
2022-08-14,Spezia,Empoli,1,0,0.861875,0.987781,H
2022-08-14,Salernitana,Roma,0,1,0.505094,2.98256,A
2022-08-15,Verona,Napoli,2,5,1.13087,2.79803,A
2022-08-15,Juventus,Sassuolo,3,0,2.24204,0.878583,H
2022-08-20,Torino,Lazio,0,0,0.996405,0.713273,D
2022-08-20,Udinese,Salernitana,0,0,1.42871,1.50184,D
2022-08-20,Inter,Spezia,3,0,2.62744,0.482897,H
2022-08-20,Sassuolo,Lecce,1,0,0.803483,0.703764,H
2022-08-21,Napoli,Monza,4,0,3.26352,0.121476,H
2022-08-21,Empoli,Fiorentina,0,0,0.757409,0.796219,D
2022-08-21,Bologna,Verona,1,1,1.13475,2.46808,D
2022-08-21,Atalanta,Milan,1,1,0.538424,1.53637,D
2022-08-22,Roma,Cremonese,1,0,2.91426,0.508942,H
2022-08-22,Sampdoria,Juventus,0,0,0.948831,0.807606,D
2022-08-26,Monza,Udinese,1,2,0.988468,2.26189,A
2022-08-26,Lazio,Inter,3,1,0.997005,1.62842,H
2022-08-27,Juventus,Roma,1,1,0.633345,0.963959,D
2022-08-27,Cremonese,Torino,1,2,0.815757,2.71403,A
2022-08-27,Milan,Bologna,2,0,2.83694,0.505259,H
2022-08-27,Spezia,Sassuolo,2,2,1.17548,2.83921,D
2022-08-28,Salernitana,Sampdoria,4,0,1.76461,1.66897,H
2022-08-28,Verona,Atalanta,0,1,0.369511,0.843159,A
2022-08-28,Lecce,Empoli,1,1,0.813378,0.37813,D
2022-08-28,Fiorentina,Napoli,0,0,0.381649,1.68549,D
2022-08-30,Sassuolo,Milan,0,0,1.06304,0.914316,D
2022-08-30,Roma,Monza,3,0,2.67127,0.560728,H
2022-08-30,Inter,Cremonese,3,1,2.79797,1.06761,H
2022-08-31,Empoli,Verona,1,1,0.778503,0.589249,D
2022-08-31,Sampdoria,Lazio,1,1,0.740992,1.61049,D
2022-08-31,Udinese,Fiorentina,1,0,0.879492,0.44345,H
2022-08-31,Napoli,Lecce,1,1,2.00236,1.02186,D
2022-08-31,Juventus,Spezia,2,0,1.76503,0.175145,H
2022-09-01,Atalanta,Torino,3,1,2.86971,0.398647,H
2022-09-01,Bologna,Salernitana,1,1,1.96131,1.19651,D
2022-09-03,Fiorentina,Juventus,1,1,1.83258,1.07522,D
2022-09-03,Milan,Inter,3,2,1.63731,2.07688,H
2022-09-03,Lazio,Napoli,1,2,0.299785,2.0197,A
2022-09-04,Cremonese,Sassuolo,0,0,0.417337,1.70824,D
2022-09-04,Spezia,Bologna,2,2,1.06255,1.02319,D
2022-09-04,Verona,Sampdoria,2,1,2.3433,0.798714,H
2022-09-04,Udinese,Roma,4,0,1.28199,0.862157,H
2022-09-05,Monza,Atalanta,0,2,0.943464,1.94986,A
2022-09-05,Salernitana,Empoli,2,2,1.80811,0.984719,D
2022-09-05,Torino,Lecce,1,0,1.0247,0.451427,H
2022-09-10,Napoli,Spezia,1,0,1.94628,0.664499,H
2022-09-10,Inter,Torino,1,0,1.53614,0.594956,H
2022-09-10,Sampdoria,Milan,1,2,0.923014,1.6646,A
2022-09-11,Atalanta,Cremonese,1,1,0.636633,0.620155,D
2022-09-11,Bologna,Fiorentina,2,1,1.25233,1.17879,H
2022-09-11,Lecce,Monza,1,1,1.46903,0.0823778,D
2022-09-11,Sassuolo,Udinese,1,3,0.349641,2.21222,A
2022-09-11,Lazio,Verona,2,0,1.84525,0.40445,H
2022-09-11,Juventus,Salernitana,2,2,1.83929,2.07448,D
2022-09-12,Empoli,Roma,1,2,1.15196,3.83699,A
2022-09-16,Salernitana,Lecce,1,2,1.08144,1.30867,A
2022-09-17,Bologna,Empoli,0,1,1.7821,1.66438,A
2022-09-17,Spezia,Sampdoria,2,1,1.02757,1.01245,H
2022-09-17,Torino,Sassuolo,0,1,0.672322,0.480221,A
2022-09-18,Udinese,Inter,3,1,1.29565,0.991896,H
2022-09-18,Cremonese,Lazio,0,4,0.992274,3.61789,A
2022-09-18,Fiorentina,Verona,2,0,2.8313,0.608308,H
2022-09-18,Monza,Juventus,1,0,2.52643,1.20518,H
2022-09-18,Roma,Atalanta,0,1,3.28059,0.144998,A
2022-09-18,Milan,Napoli,1,2,2.2547,1.17973,A
2022-10-01,Napoli,Torino,3,1,1.18491,0.741608,H
2022-10-01,Inter,Roma,1,2,0.76194,1.03755,A
2022-10-01,Empoli,Milan,1,3,1.01178,2.6069,A
2022-10-02,Lazio,Spezia,4,0,3.03467,0.852447,H
2022-10-02,Lecce,Cremonese,1,1,0.945844,1.55939,D
2022-10-02,Sampdoria,Monza,0,3,0.0814991,1.2288,A
2022-10-02,Sassuolo,Salernitana,5,0,3.21976,0.568495,H
2022-10-02,Atalanta,Fiorentina,1,0,1.64453,0.638248,H
2022-10-02,Juventus,Bologna,3,0,2.51162,0.330255,H
2022-10-03,Verona,Udinese,1,2,0.284674,2.17728,A
2022-10-08,Sassuolo,Inter,1,2,1.10218,2.81804,A
2022-10-08,Milan,Juventus,2,0,2.30469,0.673421,H
2022-10-08,Bologna,Sampdoria,1,1,0.669175,0.823033,D
2022-10-09,Torino,Empoli,1,1,2.73808,0.14731,D
2022-10-09,Monza,Spezia,2,0,0.763016,0.534751,H
2022-10-09,Salernitana,Verona,2,1,0.975817,0.947745,H
2022-10-09,Udinese,Atalanta,2,2,1.11402,1.97537,D
