date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2025-10-25,Espanol,Elche,1,0,1.70342,1.11414,H
2025-10-25,Ath Bilbao,Getafe,0,1,0.358524,1.00378,A
2025-10-25,Valencia,Villarreal,0,2,0.641435,2.62387,A
2025-10-26,Mallorca,Levante,1,1,1.86979,2.3579,D
2025-10-26,Real Madrid,Barcelona,2,1,3.41322,1.12434,H
2025-10-26,Osasuna,Celta,2,3,2.318,1.54054,A
2025-10-26,Vallecano,Alaves,1,0,1.54971,1.41466,H
2025-10-27,Betis,Ath Madrid,0,2,1.33792,0.876554,A
2025-10-31,Getafe,Girona,2,1,1.40213,1.54366,H
2025-11-01,Villarreal,Vallecano,4,0,2.7136,1.08632,H
2025-11-01,Ath Madrid,Sevilla,3,0,2.98632,0.376887,H
2025-11-01,Sociedad,Ath Bilbao,3,2,1.8412,1.13112,H
2025-11-01,Real Madrid,Valencia,4,0,2.89965,0.292177,H
2025-11-02,Levante,Celta,1,2,1.23651,1.92474,A
2025-11-02,Alaves,Espanol,2,1,2.18038,1.04283,H
2025-11-02,Barcelona,Elche,3,1,2.8073,0.549079,H
2025-11-02,Betis,Mallorca,3,0,2.82134,0.749852,H
2025-11-03,Oviedo,Osasuna,0,0,0.717473,0.626317,D
2025-11-07,Elche,Sociedad,1,1,0.808307,1.47221,D
2025-11-08,Girona,Alaves,1,0,1.26365,2.00772,H
2025-11-08,Sevilla,Osasuna,1,0,1.22271,0.967352,H
2025-11-08,Ath Madrid,Levante,3,1,3.03599,1.29112,H
2025-11-08,Espanol,Villarreal,0,2,0.476157,1.47118,A
2025-11-09,Ath Bilbao,Oviedo,1,0,2.65219,0.182696,H
2025-11-09,Vallecano,Real Madrid,0,0,1.60641,0.841463,D
2025-11-09,Valencia,Betis,1,1,1.95148,1.58932,D
2025-11-09,Mallorca,Getafe,1,0,1.30353,0.539674,H
2025-11-09,Celta,Barcelona,2,4,0.512253,3.42936,A
2025-11-21,Valencia,Levante,1,0,1.65038,0.67426,H
2025-11-22,Alaves,Celta,0,1,0.3056,1.32351,A
2025-11-22,Barcelona,Ath Bilbao,4,0,2.32922,1.04615,H
2025-11-22,Osasuna,Sociedad,1,3,1.27964,1.76546,A
2025-11-22,Villarreal,Mallorca,2,1,2.6371,1.38464,H
2025-11-23,Oviedo,Vallecano,0,0,0.499406,0.922998,D
2025-11-23,Betis,Girona,1,1,1.5784,1.48903,D
2025-11-23,Getafe,Ath Madrid,0,1,0.578828,1.47677,A
2025-11-23,Elche,Real Madrid,2,2,1.59518,3.88258,D
2025-11-24,Espanol,Sevilla,2,1,1.16625,1.80002,H
2025-11-28,Getafe,Elche,1,0,1.34046,0.448894,H
2025-11-29,Mallorca,Osasuna,2,2,1.10581,1.11108,D
2025-11-29,Barcelona,Alaves,3,1,2.51096,2.09256,H
2025-11-29,Levante,Ath Bilbao,0,2,1.20253,2.80864,A
2025-11-29,Ath Madrid,Oviedo,2,0,2.40693,0.921985,H
2025-11-30,Sociedad,Villarreal,2,3,1.3715,1.63038,A
2025-11-30,Sevilla,Betis,0,2,0.735196,1.17861,A
2025-11-30,Celta,Espanol,0,1,0.635572,0.599243,A
2025-11-30,Girona,Real Madrid,1,1,1.05171,2.21359,D
2025-12-01,Vallecano,Valencia,1,1,2.13298,0.897663,D
2025-12-02,Barcelona,Ath Madrid,3,1,3.46121,1.35018,H
