date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2021-08-13,Valencia,Getafe,1,0,1.57861,1.19326,H
2021-08-14,Mallorca,Betis,1,1,0.569578,0.814085,D
2021-08-14,Cadiz,Levante,1,1,0.993589,0.915954,D
2021-08-14,Osasuna,Espanol,0,0,0.579404,0.583698,D
2021-08-14,Alaves,Real Madrid,1,4,1.41097,2.15551,A
2021-08-15,Celta,Ath Madrid,1,2,1.59399,1.805,A
2021-08-15,Barcelona,Sociedad,4,2,3.46484,0.902312,H
2021-08-15,Sevilla,Vallecano,3,0,3.67402,0.484078,H
2021-08-16,Villarreal,Granada,0,0,1.21791,0.246735,D
2021-08-16,Elche,Ath Bilbao,0,0,0.933565,0.634866,D
2021-08-20,Betis,Cadiz,1,1,1.82337,1.4533,D
2021-08-21,Alaves,Mallorca,0,1,0.920977,0.82407,A
2021-08-21,Granada,Valencia,1,1,0.752693,1.50025,D
2021-08-21,Espanol,Villarreal,0,0,1.68861,0.597171,D
2021-08-21,Ath Bilbao,Barcelona,1,1,1.43436,1.18383,D
2021-08-22,Sociedad,Vallecano,1,0,2.26913,0.76322,H
2021-08-22,Ath Madrid,Elche,1,0,1.04508,0.168373,H
2021-08-22,Levante,Real Madrid,3,3,1.63837,2.14125,D
2021-08-23,Getafe,Sevilla,0,1,0.391853,0.813891,A
2021-08-23,Osasuna,Celta,0,0,2.58218,0.084571,D
2021-08-27,Mallorca,Espanol,1,0,1.28733,0.296878,H
2021-08-27,Valencia,Alaves,3,0,2.33998,0.360675,H
2021-08-28,Celta,Ath Bilbao,0,1,0.934567,1.45227,A
2021-08-28,Sociedad,Levante,1,0,0.855875,0.521015,H
2021-08-28,Elche,Sevilla,1,1,0.855435,1.70035,D
2021-08-28,Betis,Real Madrid,0,1,0.420687,0.94097,A
2021-08-29,Barcelona,Getafe,2,1,1.05122,0.283315,H
2021-08-29,Cadiz,Osasuna,2,3,1.36149,2.28418,A
2021-08-29,Vallecano,Granada,4,0,2.19631,0.586302,H
2021-08-29,Ath Madrid,Villarreal,2,2,1.773,0.448731,D
2021-09-11,Levante,Vallecano,1,1,1.10993,2.7683,D
2021-09-11,Ath Bilbao,Mallorca,2,0,1.855,0.22503,H
2021-09-12,Espanol,Ath Madrid,1,2,0.373891,0.732283,A
2021-09-12,Osasuna,Valencia,1,4,0.457252,0.924929,A
2021-09-12,Cadiz,Sociedad,0,2,0.607763,2.36611,A
2021-09-12,Real Madrid,Celta,5,2,3.03734,1.99062,H
2021-09-13,Getafe,Elche,0,1,0.3796,1.07401,A
2021-09-13,Granada,Betis,1,2,0.780077,2.43767,A
2021-09-17,Celta,Cadiz,1,2,0.993864,1.07407,A
2021-09-18,Vallecano,Getafe,3,0,1.98661,1.15428,H
2021-09-18,Ath Madrid,Ath Bilbao,0,0,1.10053,1.10578,D
2021-09-18,Elche,Levante,1,1,0.536512,1.12463,D
2021-09-18,Alaves,Osasuna,0,2,0.251601,1.32313,A
2021-09-19,Mallorca,Villarreal,0,0,0.529054,1.63437,D
2021-09-19,Sociedad,Sevilla,0,0,1.17723,0.7654,D
2021-09-19,Betis,Espanol,2,2,2.36891,1.21693,D
2021-09-19,Valencia,Real Madrid,1,2,0.647432,1.36343,A
2021-09-20,Barcelona,Granada,1,1,1.88236,0.612728,D
2021-09-21,Getafe,Ath Madrid,1,2,0.330581,1.47906,A
2021-09-21,Ath Bilbao,Vallecano,1,2,0.956027,1.04121,A
2021-09-21,Levante,Celta,0,2,1.40702,0.739683,A
2021-09-22,Sevilla,Valencia,3,1,1.20708,0.442431,H
2021-09-22,Espanol,Alaves,1,0,1.61796,0.424815,H
2021-09-22,Villarreal,Elche,4,1,2.77855,1.09551,H
2021-09-22,Real Madrid,Mallorca,6,1,2.3746,1.19165,H
2021-09-23,Granada,Sociedad,2,3,1.25019,1.58153,A
2021-09-23,Osasuna,Betis,1,3,0.820269,2.20306,A
2021-09-23,Cadiz,Barcelona,0,0,1.40061,0.361756,D
2021-09-25,Alaves,Ath Madrid,1,0,1.19699,0.558059,H
2021-09-25,Valencia,Ath Bilbao,1,1,1.08633,0.830524,D
2021-09-25,Sevilla,Espanol,2,0,1.57528,0.478568,H
2021-09-25,Real Madrid,Villarreal,0,0,1.53636,0.666401,D
2021-09-26,Mallorca,Osasuna,2,3,2.74158,1.63553,A
2021-09-26,Barcelona,Levante,3,0,3.11328,0.712689,H
2021-09-26,Vallecano,Cadiz,3,1,1.89007,1.09997,H
2021-09-26,Sociedad,Elche,1,0,2.11835,0.573483,H
2021-09-26,Betis,Getafe,2,0,2.4642,0.590585,H
2021-09-27,Celta,Granada,1,0,1.26658,0.541862,H
2021-10-01,Ath Bilbao,Alaves,1,0,2.49402,0.808018,H
2021-10-02,Osasuna,Vallecano,1,0,0.657174,0.148539,H
2021-10-02,Mallorca,Levante,1,0,0.442135,1.43388,H
2021-10-02,Cadiz,Valencia,0,0,0.156791,1.43757,D
2021-10-02,Ath Madrid,Barcelona,2,0,1.37412,0.74746,H
2021-10-03,Elche,Celta,1,0,1.39817,0.713553,H
2021-10-03,Espanol,Real Madrid,2,1,1.29119,1.62384,H
2021-10-03,Villarreal,Betis,2,0,2.58641,0.527081,H
2021-10-03,Getafe,Sociedad,1,1,0.523662,0.799948,D
2021-10-03,Granada,Sevilla,1,0,0.0843984,1.4028,H
2021-10-16,Levante,Getafe,0,0,0.83295,0.557421,D
2021-10-16,Sociedad,Mallorca,1,0,0.404506,0.35977,H
2021-10-17,Vallecano,Elche,2,1,1.10651,0.326072,H
2021-10-17,Celta,Sevilla,0,1,0.888941,0.828384,A
2021-10-17,Villarreal,Osasuna,1,2,0.713142,0.957297,A
2021-10-17,Barcelona,Valencia,3,1,2.37862,0.378333,H
2021-10-18,Alaves,Betis,0,1,1.35769,1.47785,A
2021-10-18,Espanol,Cadiz,2,0,1.73503,0.603648,H
2021-10-22,Osasuna,Granada,1,1,1.24456,0.434896,D
2021-10-23,Valencia,Mallorca,2,2,1.47094,0.807566,D
2021-10-23,Cadiz,Alaves,0,2,2.00294,1.86733,A
2021-10-23,Elche,Espanol,2,2,0.998945,1.05435,D
2021-10-23,Ath Bilbao,Villarreal,2,1,2.64328,0.605636,H
2021-10-24,Sevilla,Levante,5,3,1.82952,1.28779,H
2021-10-24,Barcelona,Real Madrid,1,2,1.58789,1.5463,A
2021-10-24,Betis,Vallecano,3,2,1.43375,1.16768,H
2021-10-24,Ath Madrid,Sociedad,2,2,1.75286,0.834092,D
2021-10-25,Getafe,Celta,0,3,0.461119,2.48108,A
2021-10-26,Alaves,Elche,1,0,1.81349,0.281657,H
2021-10-26,Espanol,Ath Bilbao,1,1,1.23306,3.68446,D
2021-10-26,Villarreal,Cadiz,3,3,1.95102,1.53615,D
2021-10-27,Vallecano,Barcelona,1,0,0.786282,2.85731,H
2021-10-27,Mallorca,Sevilla,1,1,2.27366,1.42068,D
2021-10-27,Betis,Valencia,4,1,2.58067,2.17844,H
2021-10-27,Real Madrid,Osasuna,0,0,0.655438,0.71046,D
2021-10-28,Celta,Sociedad,0,2,0.995591,1.42714,A
2021-10-28,Granada,Getafe,1,1,2.26351,0.581107,D
2021-10-28,Levante,Ath Madrid,2,2,2.12426,1.33383,D
2021-10-30,Elche,Real Madrid,1,2,1.15068,1.60735,A
2021-10-30,Sevilla,Osasuna,2,0,2.43378,0.790454,H
2021-10-30,Valencia,Villarreal,2,0,1.66395,0.804209,H
2021-10-30,Barcelona,Alaves,1,1,1.56007,0.599628,D
2021-10-31,Cadiz,Mallorca,1,1,1.80233,1.03662,D
2021-10-31,Ath Madrid,Betis,3,0,2.5506,0.521096,H
2021-10-31,Getafe,Espanol,2,1,0.951784,0.619895,H
2021-10-31,Sociedad,Ath Bilbao,1,1,1.05807,1.01149,D
2021-11-01,Vallecano,Celta,0,0,0.467972,0.43779,D
2021-11-01,Levante,Granada,0,3,1.33088,1.46089,A
2021-11-05,Ath Bilbao,Cadiz,0,1,0.584754,0.491777,A
2021-11-06,Espanol,Granada,2,0,1.76367,2.06874,H
2021-11-06,Celta,Barcelona,3,3,1.77068,1.13925,D
2021-11-06,Alaves,Levante,2,1,1.53471,0.802633,H
2021-11-06,Real Madrid,Vallecano,2,1,2.72626,1.78044,H
2021-11-07,Villarreal,Getafe,1,0,1.49263,0.153162,H
2021-11-07,Valencia,Ath Madrid,3,3,1.57167,2.63804,D
2021-11-07,Mallorca,Elche,2,2,2.04894,0.679919,D
2021-11-07,Osasuna,Sociedad,0,2,0.495749,1.43263,A
2021-11-07,Betis,Sevilla,0,2,0.389163,1.42156,A
