date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2022-08-12,Osasuna,Sevilla,2,1,1.35571,0.965574,H
2022-08-13,Celta,Espanol,2,2,0.347363,1.0334,D
2022-08-13,Valladolid,Villarreal,0,3,0.859075,1.39509,A
2022-08-13,Barcelona,Vallecano,0,0,1.37129,0.77153,D
2022-08-14,Cadiz,Sociedad,0,1,0.294358,2.64367,A
2022-08-14,Valencia,Girona,1,0,1.87878,0.132198,H
2022-08-14,Almeria,Real Madrid,1,2,0.80073,3.11412,A
2022-08-15,Ath Bilbao,Mallorca,0,0,1.60559,0.476414,D
2022-08-15,Getafe,Ath Madrid,0,3,1.14045,1.48417,A
2022-08-15,Betis,Elche,3,0,3.99664,0.29379,H
2022-08-19,Espanol,Vallecano,0,2,0.904012,1.69789,A
2022-08-19,Sevilla,Valladolid,1,1,1.95115,0.557629,D
2022-08-20,Osasuna,Cadiz,2,0,2.92362,1.01741,H
2022-08-20,Mallorca,Betis,1,2,1.46761,2.21648,A
2022-08-20,Celta,Real Madrid,1,4,1.31973,3.59631,A
2022-08-21,Ath Bilbao,Valencia,1,0,0.761587,0.676158,H
2022-08-21,Ath Madrid,Villarreal,0,2,1.5852,1.9825,A
2022-08-21,Sociedad,Barcelona,1,4,0.79913,2.04035,A
2022-08-22,Elche,Almeria,1,1,0.899007,0.969747,D
2022-08-22,Girona,Getafe,3,1,1.52171,0.692785,H
2022-08-26,Girona,Celta,0,1,0.566228,0.625546,A
2022-08-26,Betis,Osasuna,1,0,0.507146,0.910349,H
2022-08-27,Elche,Sociedad,0,1,1.23504,1.81171,A
2022-08-27,Vallecano,Mallorca,0,2,0.864794,0.855715,A
2022-08-27,Almeria,Sevilla,2,1,2.15407,1.37889,H
2022-08-28,Getafe,Villarreal,0,0,0.273957,1.13195,D
2022-08-28,Barcelona,Valladolid,4,0,3.28674,0.720063,H
2022-08-28,Espanol,Real Madrid,1,3,1.63359,2.04602,A
2022-08-29,Cadiz,Ath Bilbao,0,4,0.239303,3.18677,A
2022-08-29,Valencia,Ath Madrid,0,1,0.65396,1.97507,A
2022-09-02,Celta,Cadiz,3,0,1.50986,0.234828,H
2022-09-03,Mallorca,Girona,1,1,0.895835,1.09499,D
2022-09-03,Real Madrid,Betis,2,1,3.20593,0.333406,H
2022-09-03,Sociedad,Ath Madrid,1,1,1.75154,2.24791,D
2022-09-03,Sevilla,Barcelona,0,3,0.829157,4.67838,A
2022-09-04,Osasuna,Vallecano,2,1,3.1751,0.179917,H
