date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2024-08-15,Ath Bilbao,Getafe,1,1,0.290195,0.537517,D
2024-08-15,Betis,Girona,1,1,1.80582,1.54726,D
2024-08-16,Celta,Alaves,2,1,0.793797,1.9391,H
2024-08-16,Las Palmas,Sevilla,2,2,1.3187,2.09987,D
2024-08-17,Osasuna,Leganes,1,1,1.7631,1.33949,D
2024-08-17,Valencia,Barcelona,1,2,1.55206,3.48824,A
2024-08-18,Sociedad,Vallecano,1,2,1.56608,1.60148,A
2024-08-18,Mallorca,Real Madrid,1,1,1.30561,0.608052,D
2024-08-19,Valladolid,Espanol,1,0,1.17753,0.515586,H
2024-08-19,Villarreal,Ath Madrid,2,2,0.68684,1.13868,D
2024-08-23,Celta,Valencia,3,1,1.30571,1.1544,H
2024-08-23,Sevilla,Villarreal,1,2,1.23826,1.39825,A
2024-08-24,Osasuna,Mallorca,1,0,0.887678,0.427602,H
2024-08-24,Barcelona,Ath Bilbao,2,1,2.41577,1.09985,H
2024-08-24,Getafe,Vallecano,0,0,0.512723,0.161076,D
2024-08-24,Espanol,Sociedad,0,1,1.79566,0.796104,A
2024-08-25,Real Madrid,Valladolid,3,0,2.17954,0.378528,H
2024-08-25,Leganes,Las Palmas,2,1,1.58998,1.23438,H
2024-08-25,Alaves,Betis,0,0,0.172545,1.36012,D
2024-08-25,Ath Madrid,Girona,3,0,1.42393,0.596524,H
2024-08-26,Villarreal,Celta,4,3,4.3817,3.79183,H
2024-08-27,Mallorca,Sevilla,0,0,0.940858,0.60976,D
2024-08-27,Vallecano,Barcelona,1,2,0.392473,1.51872,A
2024-08-28,Valladolid,Leganes,0,0,0.773785,0.184577,D
2024-08-28,Ath Bilbao,Valencia,1,0,1.51595,0.0996371,H
2024-08-28,Sociedad,Alaves,1,2,0.951647,2.62561,A
2024-08-28,Ath Madrid,Espanol,0,0,3.88587,0.855829,D
2024-08-29,Girona,Osasuna,4,0,2.6015,0.0199618,H
2024-08-29,Las Palmas,Real Madrid,1,1,0.809213,3.28322,D
2024-08-31,Barcelona,Valladolid,7,0,4.94022,0.422493,H
2024-08-31,Ath Bilbao,Ath Madrid,0,1,0.252231,1.58613,A
2024-08-31,Espanol,Vallecano,2,1,1.84679,1.0088,H
2024-08-31,Valencia,Villarreal,1,1,1.14322,0.885369,D
2024-08-31,Leganes,Mallorca,0,1,0.52078,1.48758,A
2024-09-01,Alaves,Las Palmas,2,0,2.01026,0.547308,H
2024-09-01,Osasuna,Celta,3,2,0.779621,1.72329,H
2024-09-01,Sevilla,Girona,0,2,0.812687,2.36355,A
2024-09-01,Getafe,Sociedad,0,0,0.547095,0.0209183,D
2024-09-01,Real Madrid,Betis,2,0,2.37168,0.831429,H
2024-09-13,Betis,Leganes,2,0,1.72201,0.107021,H
2024-09-14,Mallorca,Villarreal,1,2,0.345425,2.41884,A
2024-09-14,Espanol,Alaves,3,2,1.95102,2.3693,H
2024-09-14,Sevilla,Getafe,1,0,1.64801,0.971555,H
2024-09-14,Sociedad,Real Madrid,0,2,1.41828,2.2759,A
2024-09-15,Celta,Valladolid,3,1,1.99273,0.382657,H
2024-09-15,Girona,Barcelona,1,4,1.09568,2.5936,A
2024-09-15,Las Palmas,Ath Bilbao,2,3,1.5194,1.80432,A
2024-09-15,Ath Madrid,Valencia,3,0,3.22965,0.18311,H
2024-09-16,Vallecano,Osasuna,3,1,1.48433,0.530311,H
2024-09-17,Mallorca,Sociedad,1,0,1.56932,0.499139,H
2024-09-18,Betis,Getafe,2,1,3.06176,0.864309,H
2024-09-19,Leganes,Ath Bilbao,0,2,0.666594,1.32325,A
2024-09-20,Alaves,Sevilla,2,1,1.40641,0.623937,H
2024-09-21,Valladolid,Sociedad,0,0,0.952589,1.3906,D
2024-09-21,Osasuna,Las Palmas,2,1,1.97167,1.28282,H
2024-09-21,Valencia,Girona,2,0,0.350785,0.387698,H
2024-09-21,Real Madrid,Espanol,4,1,4.89487,0.318831,H
2024-09-22,Getafe,Leganes,1,1,1.24276,0.783211,D
2024-09-22,Ath Bilbao,Celta,3,1,0.864304,1.21547,H
2024-09-22,Villarreal,Barcelona,1,5,2.39605,4.1937,A
2024-09-22,Vallecano,Ath Madrid,1,1,1.68952,0.554066,D
2024-09-23,Betis,Mallorca,1,2,1.37084,1.4369,A
2024-09-24,Sevilla,Valladolid,2,1,1.67099,0.411515,H
2024-09-24,Valencia,Osasuna,0,0,1.17527,0.377552,D
2024-09-24,Real Madrid,Alaves,3,2,1.79791,0.853455,H
2024-09-25,Girona,Vallecano,0,0,2.1579,0.377734,D
2024-09-25,Barcelona,Getafe,1,0,2.20799,0.929851,H
2024-09-26,Espanol,Villarreal,1,2,0.355072,1.96233,A
2024-09-26,Las Palmas,Betis,1,1,1.10799,2.66646,D
2024-09-26,Celta,Ath Madrid,0,1,1.76126,0.778357,A
2024-09-27,Valladolid,Mallorca,1,2,1.31551,2.49026,A
2024-09-28,Getafe,Alaves,2,0,2.55847,0.415348,H
2024-09-28,Vallecano,Leganes,1,1,1.15229,0.852356,D
2024-09-28,Sociedad,Valencia,3,0,3.6853,0.805963,H
2024-09-28,Osasuna,Barcelona,4,2,2.50067,0.751814,H
2024-09-29,Celta,Girona,1,1,0.52399,1.41269,D
2024-09-29,Ath Bilbao,Sevilla,1,1,1.82961,1.24147,D
2024-09-29,Betis,Espanol,1,0,1.97922,0.569387,H
2024-09-29,Ath Madrid,Real Madrid,1,1,1.05477,0.660987,D
2024-09-30,Villarreal,Las Palmas,3,1,4.07869,0.802357,H
2024-10-04,Leganes,Valencia,0,0,0.913168,0.703751,D
2024-10-05,Espanol,Mallorca,2,1,0.948554,1.79839,H
2024-10-05,Getafe,Osasuna,1,1,1.34832,0.247706,D
2024-10-05,Las Palmas,Celta,0,1,0.964894,0.814163,A
2024-10-05,Valladolid,Vallecano,1,2,1.65842,1.64746,A
2024-10-05,Real Madrid,Villarreal,2,0,0.459582,1.4618,H
2024-10-06,Girona,Ath Bilbao,2,1,2.17393,3.15974,H
2024-10-06,Alaves,Barcelona,0,3,0.794829,2.49367,A
2024-10-06,Sevilla,Betis,1,0,1.8284,0.436615,H
2024-10-06,Sociedad,Ath Madrid,1,1,1.08517,0.561748,D
2024-10-18,Alaves,Valladolid,2,3,0.433035,2.33646,A
2024-10-19,Ath Bilbao,Espanol,4,1,1.46517,0.500795,H
2024-10-19,Osasuna,Betis,1,2,2.21025,2.79181,A
2024-10-19,Girona,Sociedad,0,1,0.446152,1.86082,A
2024-10-19,Celta,Real Madrid,1,2,1.79112,1.19816,A
2024-10-20,Mallorca,Vallecano,1,0,2.72076,0.464955,H
2024-10-20,Ath Madrid,Leganes,3,1,5.21397,0.271901,H
2024-10-20,Villarreal,Getafe,1,1,1.14683,2.02638,D
2024-10-20,Barcelona,Sevilla,5,1,4.08528,0.599652,H
2024-10-21,Valencia,Las Palmas,2,3,1.94417,1.56861,A
2024-10-25,Espanol,Sevilla,0,2,1.0292,0.813306,A
2024-10-26,Valladolid,Villarreal,1,2,0.97802,2.68435,A
2024-10-26,Vallecano,Alaves,1,0,2.89009,0.871439,H
2024-10-26,Las Palmas,Girona,1,0,1.24451,1.04715,H
2024-10-26,Real Madrid,Barcelona,0,4,1.40359,2.51566,A
2024-10-27,Leganes,Celta,3,0,1.54881,0.767239,H
2024-10-27,Getafe,Valencia,1,1,2.97825,0.63831,D
2024-10-27,Betis,Ath Madrid,1,0,2.20384,0.555217,H
2024-10-27,Sociedad,Osasuna,0,2,1.6767,1.06487,A
2024-10-28,Mallorca,Ath Bilbao,0,0,0.542356,0.755466,D
2024-11-01,Alaves,Mallorca,1,0,1.43582,0.708287,H
2024-11-02,Osasuna,Valladolid,1,0,3.21695,0.204092,H
2024-11-02,Girona,Leganes,4,3,1.81274,0.320545,H
2024-11-03,Ath Madrid,Las Palmas,2,0,1.73469,0.0329044,H
2024-11-03,Barcelona,Espanol,3,1,1.94398,0.787359,H
2024-11-03,Sevilla,Sociedad,0,2,0.629505,1.21835,A
2024-11-03,Ath Bilbao,Betis,1,1,4.2033,1.54499,D
2024-11-04,Celta,Getafe,1,0,2.12477,0.424746,H
