date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2023-08-11,Burnley,Man City,0,3,0.311032,2.40074,A
2023-08-12,Arsenal,Nott'm Forest,2,1,0.84262,0.966305,H
2023-08-12,Bournemouth,West Ham,1,1,1.51025,1.4834,D
2023-08-12,Brighton,Luton,4,1,4.36748,1.88594,H
2023-08-12,Everton,Fulham,0,1,2.59001,1.58144,A
2023-08-12,Sheffield United,Crystal Palace,0,1,0.422704,2.27616,A
2023-08-12,Newcastle,Aston Villa,5,1,4.32208,1.486,H
2023-08-13,Brentford,Tottenham,2,2,1.90756,1.45316,D
2023-08-13,Chelsea,Liverpool,1,1,1.93258,1.29994,D
2023-08-14,Man United,Wolves,1,0,1.97087,1.72228,H
2023-08-18,Nott'm Forest,Sheffield United,2,1,1.37181,0.551038,H
2023-08-19,Wolves,Brighton,1,4,2.68821,3.15562,A
2023-08-19,Fulham,Brentford,0,3,0.399899,3.46888,A
2023-08-19,Liverpool,Bournemouth,3,1,3.25448,1.3867,H
2023-08-19,Tottenham,Man United,2,0,2.53904,2.44604,H
2023-08-19,Man City,Newcastle,1,0,1.22528,0.257154,H
2023-08-20,Aston Villa,Everton,4,0,3.24336,0.721465,H
2023-08-20,West Ham,Chelsea,3,1,1.71234,1.60916,H
2023-08-21,Crystal Palace,Arsenal,0,1,1.06916,2.20593,A
2023-08-25,Chelsea,Luton,3,0,3.41419,0.465741,H
2023-08-26,Bournemouth,Tottenham,0,2,0.483582,2.26115,A
2023-08-26,Arsenal,Fulham,2,2,3.23088,0.849817,D
2023-08-26,Brentford,Crystal Palace,1,1,0.948011,1.06061,D
2023-08-26,Everton,Wolves,0,1,1.89792,1.40228,A
2023-08-26,Man United,Nott'm Forest,3,2,3.02803,0.960354,H
2023-08-26,Brighton,West Ham,1,3,1.3743,2.9527,A
2023-08-27,Burnley,Aston Villa,1,3,0.630605,2.83691,A
2023-08-27,Sheffield United,Man City,1,2,0.762232,3.84804,A
2023-08-27,Newcastle,Liverpool,1,2,1.62037,0.856121,A
2023-09-01,Luton,West Ham,1,2,2.02244,1.22528,A
2023-09-02,Sheffield United,Everton,2,2,1.575,2.73871,D
2023-09-02,Man City,Fulham,5,1,2.00152,1.46427,H
2023-09-02,Brentford,Bournemouth,2,2,3.07185,2.11013,D
2023-09-02,Burnley,Tottenham,2,5,1.66604,2.39785,A
2023-09-02,Chelsea,Nott'm Forest,0,1,2.28442,1.1505,A
2023-09-02,Brighton,Newcastle,3,1,1.32258,0.90476,H
2023-09-03,Crystal Palace,Wolves,3,2,2.32935,1.13911,H
2023-09-03,Liverpool,Aston Villa,3,0,2.73138,0.615503,H
2023-09-03,Arsenal,Man United,3,1,1.90973,0.966109,H
2023-09-16,Wolves,Liverpool,1,3,0.538833,2.82701,A
2023-09-16,Tottenham,Sheffield United,2,1,2.15909,0.790655,H
2023-09-16,West Ham,Man City,1,3,0.895632,4.15046,A
2023-09-16,Aston Villa,Crystal Palace,3,1,2.31518,1.11696,H
2023-09-16,Fulham,Luton,1,0,1.75704,1.45705,H
2023-09-16,Man United,Brighton,1,3,0.719951,1.93908,A
2023-09-16,Newcastle,Brentford,1,0,1.50126,0.633678,H
2023-09-17,Bournemouth,Chelsea,0,0,1.32515,1.39677,D
2023-09-17,Everton,Arsenal,0,1,0.28317,0.802605,A
2023-09-18,Nott'm Forest,Burnley,1,1,0.705795,0.807651,D
2023-09-23,Luton,Wolves,1,1,2.24101,0.762984,D
2023-09-23,Man City,Nott'm Forest,2,0,1.33984,0.729109,H
2023-09-23,Crystal Palace,Fulham,0,0,0.37236,0.542678,D
2023-09-23,Brentford,Everton,1,3,1.57402,2.51497,A
2023-09-23,Burnley,Man United,0,1,0.935444,0.840273,A
2023-09-24,Chelsea,Aston Villa,0,1,1.19716,1.13479,A
2023-09-24,Brighton,Bournemouth,3,1,2.14533,1.58984,H
2023-09-24,Arsenal,Tottenham,2,2,2.3429,2.21166,D
2023-09-24,Liverpool,West Ham,3,1,4.14262,1.53878,H
2023-09-24,Sheffield United,Newcastle,0,8,0.579392,5.1082,A
2023-09-30,Aston Villa,Brighton,6,1,1.90746,1.72819,H
2023-09-30,Everton,Luton,1,2,3.65377,1.5102,A
2023-09-30,Man United,Crystal Palace,0,1,1.55408,1.19015,A
2023-09-30,Newcastle,Burnley,2,0,3.08516,0.801849,H
2023-09-30,Bournemouth,Arsenal,0,4,0.644443,4.0742,A
2023-09-30,West Ham,Sheffield United,2,0,3.19753,0.911997,H
2023-09-30,Wolves,Man City,2,1,0.673985,0.98075,H
2023-09-30,Tottenham,Liverpool,2,1,2.18823,1.12299,H
2023-10-01,Nott'm Forest,Brentford,1,1,0.800317,1.75862,D
2023-10-02,Fulham,Chelsea,0,2,0.889383,1.98461,A
2023-10-03,Luton,Burnley,1,2,1.53058,0.920206,A
2023-10-07,Luton,Tottenham,0,1,0.848118,2.37947,A
2023-10-07,Burnley,Chelsea,1,4,0.956642,1.97566,A
2023-10-07,Everton,Bournemouth,3,0,3.16482,0.981732,H
2023-10-07,Fulham,Sheffield United,3,1,2.26612,0.251809,H
2023-10-07,Man United,Brentford,2,1,1.29356,1.02509,H
2023-10-07,Crystal Palace,Nott'm Forest,0,0,0.982452,1.22105,D
2023-10-08,Brighton,Liverpool,2,2,2.23187,2.51029,D
2023-10-08,West Ham,Newcastle,2,2,0.931345,1.97865,D
2023-10-08,Wolves,Aston Villa,1,1,1.76232,1.81618,D
2023-10-08,Arsenal,Man City,1,0,0.386558,0.858071,H
2023-10-21,Liverpool,Everton,2,0,2.28568,0.0937725,H
2023-10-21,Bournemouth,Wolves,1,2,1.01839,2.30454,A
2023-10-21,Brentford,Burnley,3,0,3.15685,0.693129,H
2023-10-21,Man City,Brighton,2,1,0.962509,0.963733,H
2023-10-21,Newcastle,Crystal Palace,4,0,3.73336,1.08795,H
2023-10-21,Nott'm Forest,Luton,2,2,3.27549,1.49555,D
2023-10-21,Chelsea,Arsenal,2,2,1.71838,1.05791,D
2023-10-21,Sheffield United,Man United,1,2,1.41074,1.46187,A
2023-10-22,Aston Villa,West Ham,4,1,2.34143,0.659622,H
2023-10-23,Tottenham,Fulham,2,0,1.63523,0.745838,H
2023-10-27,Crystal Palace,Tottenham,1,2,0.561834,0.989103,A
2023-10-28,Chelsea,Brentford,0,2,1.71801,2.48137,A
2023-10-28,Bournemouth,Burnley,2,1,1.10052,0.90255,H
2023-10-28,Arsenal,Sheffield United,5,0,3.03496,0.0281554,H
2023-10-28,Wolves,Newcastle,2,2,0.863393,2.31987,D
2023-10-29,West Ham,Everton,0,1,0.618578,0.733813,A
2023-10-29,Aston Villa,Luton,3,1,3.07654,0.453117,H
2023-10-29,Brighton,Fulham,1,1,1.31996,0.552523,D
2023-10-29,Liverpool,Nott'm Forest,3,0,2.70428,0.642014,H
2023-10-29,Man United,Man City,0,3,0.714628,4.54595,A
2023-11-04,Fulham,Man United,0,1,1.18241,0.697095,A
2023-11-04,Brentford,West Ham,3,2,1.82944,1.75505,H
2023-11-04,Burnley,Crystal Palace,0,2,1.4998,1.43653,A
2023-11-04,Everton,Brighton,1,1,0.617607,0.442489,D
2023-11-04,Man City,Bournemouth,6,1,2.39949,0.643127,H
2023-11-04,Sheffield United,Wolves,2,1,1.10165,1.14803,H
2023-11-04,Newcastle,Arsenal,1,0,1.12355,0.535473,H
2023-11-05,Nott'm Forest,Aston Villa,2,0,0.592447,1.33116,H
2023-11-05,Luton,Liverpool,1,1,1.3411,3.03925,D
2023-11-06,Tottenham,Chelsea,1,4,0.959108,4.05865,A
2023-11-11,Wolves,Tottenham,2,1,1.90884,0.432315,H
2023-11-11,Arsenal,Burnley,3,1,2.63194,0.327706,H
2023-11-11,Crystal Palace,Everton,2,3,1.89194,1.7904,A
2023-11-11,Man United,Luton,1,0,2.74105,0.408265,H
2023-11-11,Bournemouth,Newcastle,2,0,2.78424,0.306141,H
2023-11-12,Aston Villa,Fulham,3,1,2.86039,0.648745,H
2023-11-12,Brighton,Sheffield United,1,1,1.08601,0.84434,D
2023-11-12,Liverpool,Brentford,3,0,1.56004,1.44954,H
2023-11-12,West Ham,Nott'm Forest,3,2,2.06402,1.42128,H
2023-11-12,Chelsea,Man City,4,4,3.47238,3.19324,D
