date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2024-11-02,Ipswich,Leicester,1,1,1.33617,2.33858,D
2024-11-02,Liverpool,Brighton,2,1,1.81037,1.01568,H
2024-11-02,Nott'm Forest,West Ham,3,0,2.35011,0.132317,H
2024-11-02,Southampton,Everton,1,0,0.540345,1.78581,H
2024-11-02,Wolves,Crystal Palace,2,2,1.65018,2.64849,D
2024-11-03,Tottenham,Aston Villa,4,1,2.09751,2.48749,H
2024-11-03,Man United,Chelsea,1,1,2.1605,1.21071,D
2024-11-04,Fulham,Brentford,2,1,1.43017,0.739231,H
2024-11-09,Brentford,Bournemouth,3,2,1.56474,2.49234,H
2024-11-09,Crystal Palace,Fulham,0,2,1.96037,2.25331,A
2024-11-09,West Ham,Everton,0,0,1.1237,0.865983,D
2024-11-09,Wolves,Southampton,2,0,0.912781,0.792655,H
2024-11-09,Brighton,Man City,2,1,2.87116,2.60334,H
2024-11-09,Liverpool,Aston Villa,2,0,2.68196,1.66337,H
2024-11-10,Nott'm Forest,Newcastle,1,3,1.17852,1.86904,A
2024-11-10,Man United,Leicester,3,0,1.2369,0.417295,H
2024-11-10,Tottenham,Ipswich,1,2,1.75088,2.18392,A
2024-11-10,Chelsea,Arsenal,1,1,1.24067,1.9605,D
2024-11-23,Leicester,Chelsea,1,2,0.967987,2.81658,A
2024-11-23,Bournemouth,Brighton,1,2,1.91157,1.23059,A
2024-11-23,Arsenal,Nott'm Forest,3,0,1.66016,0.403136,H
2024-11-23,Everton,Brentford,0,0,1.5951,1.34314,D
2024-11-23,Aston Villa,Crystal Palace,2,2,3.04455,1.61437,D
2024-11-23,Fulham,Wolves,1,4,0.717158,1.33903,A
2024-11-23,Man City,Tottenham,0,4,2.15899,3.30449,A
2024-11-24,Southampton,Liverpool,2,3,1.53985,3.18835,A
2024-11-24,Ipswich,Man United,1,1,1.98714,1.26912,D
2024-11-25,Newcastle,West Ham,0,2,1.49781,0.942824,A
2024-11-29,Brighton,Southampton,1,1,1.86986,0.934969,D
2024-11-30,Brentford,Leicester,4,1,2.21885,0.907555,H
2024-11-30,Crystal Palace,Newcastle,1,1,2.29595,0.020989,D
2024-11-30,Nott'm Forest,Ipswich,1,0,1.76587,0.462771,H
2024-11-30,Wolves,Bournemouth,2,4,0.866034,3.07901,A
2024-11-30,West Ham,Arsenal,2,5,1.23539,3.99935,A
2024-12-01,Chelsea,Aston Villa,3,0,1.94939,0.875443,H
2024-12-01,Man United,Everton,4,0,1.76161,0.766749,H
2024-12-01,Tottenham,Fulham,1,1,1.01086,1.57274,D
2024-12-01,Liverpool,Man City,2,0,3.70054,0.745015,H
2024-12-03,Ipswich,Crystal Palace,0,1,0.471708,1.65422,A
2024-12-03,Leicester,West Ham,3,1,2.78061,2.87716,H
2024-12-04,Everton,Wolves,4,0,1.49904,0.847724,H
2024-12-04,Man City,Nott'm Forest,3,0,3.20169,0.802155,H
2024-12-04,Newcastle,Liverpool,3,3,1.52057,2.22766,D
2024-12-04,Southampton,Chelsea,1,5,1.91014,5.8331,A
2024-12-04,Arsenal,Man United,2,0,2.96684,0.256083,H
2024-12-04,Aston Villa,Brentford,3,1,3.21673,1.13266,H
2024-12-05,Fulham,Brighton,3,1,0.666644,1.09939,H
2024-12-05,Bournemouth,Tottenham,1,0,3.27716,0.623934,H
2024-12-07,Aston Villa,Southampton,1,0,2.51338,0.385832,H
2024-12-07,Brentford,Newcastle,4,2,1.746,1.95645,H
2024-12-07,Crystal Palace,Man City,2,2,1.21476,1.5846,D
2024-12-07,Man United,Nott'm Forest,2,3,1.4697,0.651217,A
2024-12-08,Fulham,Arsenal,1,1,0.150988,2.4333,D
2024-12-08,Ipswich,Bournemouth,1,2,1.5668,3.49127,A
2024-12-08,Leicester,Brighton,2,2,1.42438,1.12184,D
2024-12-08,Tottenham,Chelsea,3,4,3.25488,2.57326,A
2024-12-09,West Ham,Wolves,2,1,1.19808,1.47567,H
2024-12-14,Liverpool,Fulham,2,2,2.09698,1.2862,D
2024-12-14,Arsenal,Everton,0,0,1.30865,0.132166,D
2024-12-14,Wolves,Ipswich,1,2,1.23748,1.73349,A
2024-12-14,Newcastle,Leicester,4,0,3.95461,0.186759,H
2024-12-14,Nott'm Forest,Aston Villa,2,1,2.2861,0.389423,H
2024-12-15,Brighton,Crystal Palace,1,3,1.32323,3.00618,A
2024-12-15,Man City,Man United,1,2,0.638103,2.04662,A
2024-12-15,Chelsea,Brentford,2,1,2.59146,1.65861,H
2024-12-15,Southampton,Tottenham,0,5,1.27356,3.89322,A
2024-12-16,Bournemouth,West Ham,1,1,2.04842,1.81827,D
2024-12-21,Aston Villa,Man City,2,1,2.05988,1.09627,H
2024-12-21,Brentford,Nott'm Forest,0,2,0.769004,0.964897,A
2024-12-21,West Ham,Brighton,1,1,1.22937,1.34379,D
2024-12-21,Ipswich,Newcastle,0,4,1.06427,3.23386,A
2024-12-21,Crystal Palace,Arsenal,1,5,1.6052,3.05434,A
2024-12-22,Fulham,Southampton,0,0,1.25255,0.280031,D
2024-12-22,Everton,Chelsea,0,0,1.07081,1.51591,D
2024-12-22,Man United,Bournemouth,0,3,2.28533,1.82831,A
2024-12-22,Leicester,Wolves,0,3,0.78868,1.13531,A
2024-12-22,Tottenham,Liverpool,3,6,1.20245,5.20214,A
2024-12-26,Man City,Everton,1,1,2.51965,0.653289,D
2024-12-26,Bournemouth,Crystal Palace,0,0,1.20189,0.500066,D
2024-12-26,Chelsea,Fulham,1,2,1.55626,1.77929,A
2024-12-26,Newcastle,Aston Villa,3,0,2.82867,0.225522,H
2024-12-26,Nott'm Forest,Tottenham,1,0,1.30018,1.05758,H
2024-12-26,Southampton,West Ham,0,1,2.19833,1.90111,A
2024-12-26,Wolves,Man United,2,0,0.826489,0.358876,H
2024-12-26,Liverpool,Leicester,3,1,1.89935,0.22097,H
2024-12-27,Brighton,Brentford,0,0,1.33538,0.961233,D
2024-12-27,Arsenal,Ipswich,1,0,2.16462,0.0783327,H
2024-12-29,Leicester,Man City,0,2,1.84208,1.58002,A
2024-12-29,Crystal Palace,Southampton,2,1,3.05417,1.21853,H
2024-12-29,Everton,Nott'm Forest,0,2,0.615191,2.02753,A
2024-12-29,Fulham,Bournemouth,2,2,0.961566,1.70692,D
2024-12-29,Tottenham,Wolves,2,2,2.28433,0.640697,D
2024-12-29,West Ham,Liverpool,0,5,0.518279,3.29868,A
2024-12-30,Aston Villa,Brighton,2,2,1.87997,0.938042,D
2024-12-30,Ipswich,Chelsea,2,0,1.50093,1.60622,H
2024-12-30,Man United,Newcastle,0,2,1.00073,2.2424,A
2025-01-01,Brentford,Arsenal,1,3,0.272604,1.99848,A
2025-01-04,Tottenham,Newcastle,1,2,1.00333,2.42963,A
2025-01-04,Bournemouth,Everton,1,0,2.61852,0.561015,H
2025-01-04,Aston Villa,Leicester,2,1,2.3456,0.81548,H
2025-01-04,Crystal Palace,Chelsea,1,1,1.2766,1.51541,D
2025-01-04,Man City,West Ham,4,1,1.97986,1.53286,H
2025-01-04,Southampton,Brentford,0,5,0.249614,5.54874,A
2025-01-04,Brighton,Arsenal,1,1,1.76513,1.81142,D
2025-01-05,Fulham,Ipswich,2,2,2.65469,1.4434,D
2025-01-05,Liverpool,Man United,2,2,2.862,1.67469,D
2025-01-06,Wolves,Nott'm Forest,0,3,1.90463,2.57227,A
2025-01-14,Brentford,Man City,2,2,2.39088,2.65315,D
2025-01-14,West Ham,Fulham,3,2,0.937322,2.83581,H
2025-01-14,Chelsea,Bournemouth,2,2,2.53808,1.14845,D
2025-01-14,Nott'm Forest,Liverpool,1,1,0.5292,2.72291,D
