date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2021-08-13,Brentford,Arsenal,2,0,1.88818,1.02385,H
2021-08-14,Man United,Leeds,5,1,1.64248,0.568342,H
2021-08-14,Burnley,Brighton,1,2,1.79548,1.6853,A
2021-08-14,Chelsea,Crystal Palace,3,0,1.18709,0.321701,H
2021-08-14,Everton,Southampton,3,1,2.38863,0.580601,H
2021-08-14,Leicester,Wolves,1,0,0.668082,1.32714,H
2021-08-14,Watford,Aston Villa,3,2,1.35036,1.13718,H
2021-08-14,Norwich,Liverpool,0,3,1.3333,1.78728,A
2021-08-15,Newcastle,West Ham,2,4,1.67926,3.00939,A
2021-08-15,Tottenham,Man City,1,0,1.06014,2.10585,H
2021-08-21,Liverpool,Burnley,2,0,2.63945,0.690464,H
2021-08-21,Man City,Norwich,5,0,2.43928,0.0250088,H
2021-08-21,Aston Villa,Newcastle,2,0,1.18426,0.63163,H
2021-08-21,Crystal Palace,Brentford,0,0,0.606313,0.712439,D
2021-08-21,Leeds,Everton,2,2,0.966093,1.85713,D
2021-08-21,Brighton,Watford,2,0,1.77896,0.407224,H
2021-08-22,Southampton,Man United,1,1,0.587526,2.26173,D
2021-08-22,Wolves,Tottenham,0,1,1.51127,1.72636,A
2021-08-22,Arsenal,Chelsea,0,2,0.630099,3.64132,A
2021-08-23,West Ham,Leicester,4,1,2.28613,0.62676,H
2021-08-28,Man City,Arsenal,5,0,4.47273,0.116805,H
2021-08-28,Newcastle,Southampton,2,2,1.19077,3.46036,D
2021-08-28,Norwich,Leicester,1,2,1.44084,1.27371,A
2021-08-28,Aston Villa,Brentford,1,1,0.431464,1.13312,D
2021-08-28,Brighton,Everton,0,2,0.701622,1.54868,A
2021-08-28,West Ham,Crystal Palace,2,2,1.44748,1.67658,D
2021-08-28,Liverpool,Chelsea,1,1,2.08462,0.573638,D
2021-08-29,Burnley,Leeds,1,1,1.71102,1.52078,D
2021-08-29,Tottenham,Watford,1,0,0.920963,0.596016,H
2021-08-29,Wolves,Man United,0,1,1.79575,0.944083,A
2021-09-11,Crystal Palace,Tottenham,3,0,2.89372,0.0775646,H
2021-09-11,Arsenal,Norwich,1,0,2.68515,0.577292,H
2021-09-11,Brentford,Brighton,0,1,0.729786,0.287902,A
2021-09-11,Leicester,Man City,0,1,0.8001,2.75058,A
2021-09-11,Man United,Newcastle,4,1,2.77326,0.622042,H
2021-09-11,Southampton,West Ham,0,0,0.692135,0.725407,D
2021-09-11,Watford,Wolves,0,2,0.185407,2.55922,A
2021-09-11,Chelsea,Aston Villa,3,0,1.22153,1.17349,H
2021-09-12,Leeds,Liverpool,0,3,0.652514,4.4016,A
2021-09-13,Everton,Burnley,3,1,1.80386,1.82061,H
2021-09-17,Newcastle,Leeds,1,1,1.17668,1.42995,D
2021-09-18,Wolves,Brentford,0,2,1.02316,2.32741,A
2021-09-18,Norwich,Watford,1,3,0.782665,2.42487,A
2021-09-18,Burnley,Arsenal,0,1,0.775574,1.09928,A
2021-09-18,Liverpool,Crystal Palace,3,0,2.76793,0.644168,H
2021-09-18,Man City,Southampton,0,0,1.22451,0.490923,D
2021-09-18,Aston Villa,Everton,3,0,0.777716,0.755035,H
2021-09-19,Brighton,Leicester,2,1,1.47438,1.25373,H
2021-09-19,West Ham,Man United,1,2,1.6671,1.8954,A
